material_query,book,page,record_index,material_class,N,unusable_family,unusable_RMS,unusable_G_rho,unusable_FDTD_status,selected_family,selected_specific_model,selected_RMS,RMS_ratio_selected_over_unusable
Si,Si,Franta-25C,7,semiconductor,1,RP,0.3061862141579407,1.0000125807598723,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3255922562001379,1.0633798686709877
Si,Si,Franta,15,semiconductor,4,RP,0.0014662190614713,2.655201352736268,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0015295947955566,1.0432239190927615
MoS2,MoS2,Munkhbat-o,16,chalcogenide_or_2D,3,RP,0.1455978960135713,1.0000367319688972,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1502805711337126,1.0321616949719166
MoO3,MoO3,Lajaunie-alpha,1,oxide,1,RP,0.031121999847948,1.000006575096288,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0317930692126658,1.0215625399394779
Au,Au,Rakic-BB,8,metal,2,RP,0.1589708616314176,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1622869125699307,1.0208594889936593
MoO3,MoO3,Lajaunie-beta,2,oxide,1,RP,0.0515479448495105,1.0000118216133718,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0525137816913033,1.018736670193399
GaAs,GaAs,Rakic,2,semiconductor,4,RP,0.0164101853522324,1.0173599028162892,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0166070631020017,1.0119972898260114
Si3N4,Si3N4,Vogt-3,4,nitride_or_carbide,5,RP,0.0005624096168523,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0005676793588498,1.0093699357898498
Cu,Cu,Rakic-LD,7,metal,3,RP,0.0423870086414803,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0427731667168798,1.0091102931718
MoS2,MoS2,Islam-fewL,3,chalcogenide_or_2D,1,RP,0.390975642764432,1.0144057644512188,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.3918185088252199,1.0021558019697299
