material_query,book,page,record_index,material_class,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
Si,Si,Franta-400K,10,semiconductor,5,0.0019278995754345,0.0463969184477691,1.0000009210293062,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-400K/RP_M5.json,0.0030285541381453,AnalyticalCP,1.0000008425914235,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-400K/CP_M5.json,-0.19615093378138165,RP has lower RMS than CP-family at N=5
Si,Si,Franta-50K,13,semiconductor,2,0.0166909603786944,0.5621122925057473,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/RP_M2.json,0.0302521511296822,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/CP_M2.json,-0.2582749351162449,RP has lower RMS than CP-family at N=2
Si,Si,Franta-50K,13,semiconductor,3,0.0201916803622181,0.5001524406930181,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/RP_M3.json,,none,,,,RP usable
Si,Si,Franta-50K,13,semiconductor,5,0.0029802995939175,0.0674808013610325,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/RP_M5.json,0.0030246781404311,AnalyticalCP,1.0000001965573808,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/CP_M5.json,-0.006419244037389983,RP has lower RMS than CP-family at N=5
Si,Si,Karaman-120C,16,semiconductor,3,0.003690834010008,0.0749253504372737,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-120C/RP_M3.json,0.0039263470352038,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-120C/CP_M3.json,-0.02686416877328129,RP has lower RMS than CP-family at N=3
Si,Si,Karaman-170C,17,semiconductor,3,0.0034389895933608,0.0701481982474181,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-170C/RP_M3.json,0.0036876175686004,AnalyticalCP,1.000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-170C/CP_M3.json,-0.030315013764434996,RP has lower RMS than CP-family at N=3
Si,Si,Karaman-220C,19,semiconductor,3,0.0030989957913456,0.0635381152974286,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-220C/RP_M3.json,0.0033857464846973,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-220C/CP_M3.json,-0.03843344978728907,RP has lower RMS than CP-family at N=3
Si3N4,Si3N4,Beliaev,1,nitride_or_carbide,3,2.8986254346300534e-06,1.2334168762952558e-05,1.0000000558860986,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M3.json,2.922514844021781e-06,SemiCP,1.0000000273367142,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M3.json,-0.0035646270058113266,RP has lower RMS than CP-family at N=3
Si3N4,Si3N4,Beliaev,1,nitride_or_carbide,4,2.825423101400638e-06,1.1845176154595042e-05,1.0000000988233886,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M4.json,2.921938924804303e-06,SemiCP,1.000000168405192,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M4.json,-0.014587642200256943,RP has lower RMS than CP-family at N=4
Si3N4,Si3N4,Beliaev,1,nitride_or_carbide,5,0.0006336236239704,0.0027198301080515,1.000000006052386,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M5.json,0.0011774255170509,SemiCP,1.0000001236279707,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M5.json,-0.26910208248319334,RP has lower RMS than CP-family at N=5
