old_record_key,new_record_key,status,match_rule,n_matches,all_matches,old_candidates
Au_Au_Yakubovsky-117nm,VISNIR_ANY_Au_Yakubovsky-117nm_0.3_1.1um,UNIQUE,middle_exact:Au_Yakubovsky-117nm,1,VISNIR_ANY_Au_Yakubovsky-117nm_0.3_1.1um,Au_Au_Yakubovsky-117nm;Au_Yakubovsky-117nm
Au_Au_Yakubovsky-25nm,VISNIR_ANY_Au_Yakubovsky-25nm_0.3_1.1um,UNIQUE,middle_exact:Au_Yakubovsky-25nm,1,VISNIR_ANY_Au_Yakubovsky-25nm_0.3_1.1um,Au_Au_Yakubovsky-25nm;Au_Yakubovsky-25nm
Au_Au_Yakubovsky-4nm,VISNIR_ANY_Au_Yakubovsky-4nm_0.3_1.1um,UNIQUE,middle_exact:Au_Yakubovsky-4nm,1,VISNIR_ANY_Au_Yakubovsky-4nm_0.3_1.1um,Au_Au_Yakubovsky-4nm;Au_Yakubovsky-4nm
Au_Au_Yakubovsky-53nm,VISNIR_ANY_Au_Yakubovsky-53nm_0.3_1.1um,UNIQUE,middle_exact:Au_Yakubovsky-53nm,1,VISNIR_ANY_Au_Yakubovsky-53nm_0.3_1.1um,Au_Au_Yakubovsky-53nm;Au_Yakubovsky-53nm
Au_Au_Yakubovsky-6nm,VISNIR_ANY_Au_Yakubovsky-6nm_0.3_1.1um,UNIQUE,middle_exact:Au_Yakubovsky-6nm,1,VISNIR_ANY_Au_Yakubovsky-6nm_0.3_1.1um,Au_Au_Yakubovsky-6nm;Au_Yakubovsky-6nm
Au_Au_Yakubovsky-9nm,VISNIR_ANY_Au_Yakubovsky-9nm_0.3_1.1um,UNIQUE,middle_exact:Au_Yakubovsky-9nm,1,VISNIR_ANY_Au_Yakubovsky-9nm_0.3_1.1um,Au_Au_Yakubovsky-9nm;Au_Yakubovsky-9nm
BaF2_BaF2_Querry,VISNIR_ANY_BaF2_Querry_0.3_1.1um,UNIQUE,middle_exact:BaF2_Querry,1,VISNIR_ANY_BaF2_Querry_0.3_1.1um,BaF2_BaF2_Querry;BaF2_Querry
C_C_Arakawa,VISNIR_ANY_C_Arakawa_0.3263_1.1um,UNIQUE,middle_exact:C_Arakawa,1,VISNIR_ANY_C_Arakawa_0.3263_1.1um,C_C_Arakawa;C_Arakawa
C_C_Djurisic-e,VISNIR_ANY_C_Djurisic-e_0.3_0.5904um,UNIQUE,middle_exact:C_Djurisic-e,1,VISNIR_ANY_C_Djurisic-e_0.3_0.5904um,C_C_Djurisic-e;C_Djurisic-e
C_C_Djurisic-o,VISNIR_ANY_C_Djurisic-o_0.3_1.1um,UNIQUE,middle_exact:C_Djurisic-o,1,VISNIR_ANY_C_Djurisic-o_0.3_1.1um,C_C_Djurisic-o;C_Djurisic-o
