record_key,material,material_class,book,page,N,family,specific_model,epsilon_rms,absolute_rms,G_rho,FDTD_status,quality_label,model_json
Cu_Cu_Hagemann,Cu,metal,Cu,Hagemann,4.0,CP,SemiCP,0.0054674341517973,0.0671094421543556,1.0000000000000009,FDTD_READY,acceptable,
Cu_Cu_Johnson,Cu,metal,Cu,Johnson,5.0,CP,SemiCP,0.0126305867535319,0.2377418479839788,1.0,FDTD_READY,warning,
Cu_Cu_McPeak,Cu,metal,Cu,McPeak,4.0,CP,CP,0.0409908475293525,0.8685326913923139,1.0000000000000002,FDTD_READY,warning,
Cu_Cu_Querry,Cu,metal,Cu,Querry,4.0,CP,SemiCP,0.0032169227405623,0.0832996494747979,1.0000000017725776,FDTD_READY,excellent,
Cu_Cu_Rakic-BB,Cu,metal,Cu,Rakic-BB,3.0,CP,SemiCP,0.0185507690342746,0.1576832893339439,1.0,FDTD_READY,warning,data/models/Cu_Cu_Rakic-BB/SemiCP_M3.json
Cu_Cu_Rakic-LD,Cu,metal,Cu,Rakic-LD,4.0,CP,SemiCP,0.000243593391511,0.0018475877942456,1.0000000000000004,FDTD_READY,excellent,
Cu_Cu_Werner,Cu,metal,Cu,Werner,3.0,CP,SemiCP,0.0080497604813751,0.6127175442493643,1.0000000000000004,FDTD_READY,acceptable,
Cu_Cu_Werner-DFT,Cu,metal,Cu,Werner-DFT,5.0,CP,SemiCP,0.0077827208922983,0.1584057754170963,1.0000000000000002,FDTD_READY,acceptable,
Fe_Fe_Johnson,Fe,metal,Fe,Johnson,5.0,CP,SemiCP,0.0240863002580888,0.3991320979356258,1.0000000000000009,FDTD_READY,warning,data/models/Fe_Fe_Johnson/SemiCP_M5.json
Fe_Fe_Querry,Fe,metal,Fe,Querry,2.0,CP,SemiCP,0.0047096775825711,0.0805838739296833,1.0,FDTD_READY,excellent,data/models/Fe_Fe_Querry/SemiCP_M2.json
Fe_Fe_Werner,Fe,metal,Fe,Werner,4.0,CP,SemiCP,0.018833387429605,4.062141257920933,1.000000000000001,FDTD_READY,warning,
Fe_Fe_Werner-DFT,Fe,metal,Fe,Werner-DFT,5.0,CP,SemiCP,0.0045356066649988,0.1022033586667685,1.0,FDTD_READY,excellent,data/models/Fe_Fe_Werner-DFT/SemiCP_M5.json
Fe2O3_Fe2O3_Querry-e,Fe2O3,lossy_transition_metal_oxide,Fe2O3,Querry-e,4.0,CP,SemiCP,0.0027166877069367,0.0192369380973642,1.000000000000001,FDTD_READY,excellent,
Fe2O3_Fe2O3_Querry-o,Fe2O3,lossy_transition_metal_oxide,Fe2O3,Querry-o,4.0,RP,RP,0.0074881926167019,0.0640925234172752,1.0,SELECTED_FDTD_READY,acceptable,data/models/Fe2O3_Fe2O3_Querry-o/RP_M4.json
Fe3O4_Fe3O4_Querry,Fe3O4,lossy_transition_metal_oxide,Fe3O4,Querry,3.0,CP,SemiCP,0.0035787120542199,0.018899867367163,1.0,FDTD_READY,excellent,data/models/Fe3O4_Fe3O4_Querry/SemiCP_M3.json
