material,record_key,record_label,book,page,material_class,record_json,raw_database_points,fitting_grid_points,wavelength_range_um,wavelength_range_source,fdtd_ready_exported_model_count,fdtd_ready_count,FDTD_ready_count,recommended_N,recommended_public_family,recommended_model_code,recommended_epsilon_rms,model_order_count,fit_wl_min_um,fit_wl_max_um,n_model_rows,n_exportable_rows,has_recommendation,recommended_family,recommended_model_json,recommended_model_curve,source_record_key
Al,Al_Al_Hagemann,Al / Hagemann,Al,Hagemann,,records/Al_Al_Hagemann.json,experimental/Al_Al_Hagemann/raw_database_points.json,experimental/Al_Al_Hagemann/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,4,4,4,5.0,SemiAnalyticalCP,SCP_M5,0.0099094954034458,5,0.3,1.1,15,4,True,SCP,models/VISNIR_ANY_Al_Hagemann_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Al_Hagemann_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Al_Hagemann_0.3_1.1um
Al,Al_Al_Mathewson,Al / Mathewson,Al,Mathewson,,records/Al_Al_Mathewson.json,experimental/Al_Al_Mathewson/raw_database_points.json,experimental/Al_Al_Mathewson/fitting_grid_points.json,"[0.49594, 1.1]",fitting_grid_points,2,2,2,5.0,SemiAnalyticalCP,SCP_M5,0.0075775395581347,5,0.49594,1.1,15,2,True,SCP,models/VISNIR_ANY_Al_Mathewson_0.4959_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Al_Mathewson_0.4959_1.1um/SCP_M5.json,VISNIR_ANY_Al_Mathewson_0.4959_1.1um
Al,Al_Al_McPeak,Al / McPeak,Al,McPeak,,records/Al_Al_McPeak.json,experimental/Al_Al_McPeak/raw_database_points.json,experimental/Al_Al_McPeak/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,3,3,3,3.0,SemiAnalyticalCP,SCP_M3,0.0015093056126036,5,0.3,1.1,15,3,True,SCP,models/VISNIR_ANY_Al_McPeak_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Al_McPeak_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Al_McPeak_0.3_1.1um
Al,Al_Al_Rakic-BB,Al / Rakic-BB,Al,Rakic-BB,,records/Al_Al_Rakic-BB.json,experimental/Al_Al_Rakic-BB/raw_database_points.json,experimental/Al_Al_Rakic-BB/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,6,6,6,3.0,SemiAnalyticalCP,SCP_M3,0.0015826471044503,5,0.3,1.1,15,6,True,SCP,models/VISNIR_ANY_Al_Rakic-BB_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Al_Rakic-BB_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Al_Rakic-BB_0.3_1.1um
Al,Al_Al_Rakic-LD,Al / Rakic-LD,Al,Rakic-LD,,records/Al_Al_Rakic-LD.json,experimental/Al_Al_Rakic-LD/raw_database_points.json,experimental/Al_Al_Rakic-LD/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,7,7,7,3.0,SemiAnalyticalCP,SCP_M3,0.0010427968750215,5,0.3,1.1,15,7,True,SCP,models/VISNIR_ANY_Al_Rakic-LD_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Al_Rakic-LD_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Al_Rakic-LD_0.3_1.1um
Al,Al_Al_Rakic,Al / Rakic,Al,Rakic,,records/Al_Al_Rakic.json,experimental/Al_Al_Rakic/raw_database_points.json,experimental/Al_Al_Rakic/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,3,3,3,4.0,SemiAnalyticalCP,SCP_M4,0.0028284168852213,5,0.3,1.1,15,3,True,SCP,models/VISNIR_ANY_Al_Rakic_0.3_1.1um/SCP_M4.json,model_curves/VISNIR_ANY_Al_Rakic_0.3_1.1um/SCP_M4.json,VISNIR_ANY_Al_Rakic_0.3_1.1um
As2S3,As2S3_As2S3_Slavich-abinitio-alpha,As2S3 / Slavich-abinitio-alpha,As2S3,Slavich-abinitio-alpha,,records/As2S3_As2S3_Slavich-abinitio-alpha.json,experimental/As2S3_As2S3_Slavich-abinitio-alpha/raw_database_points.json,experimental/As2S3_As2S3_Slavich-abinitio-alpha/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,10,10,10,5.0,SemiAnalyticalCP,SCP_M5,0.0031949667695167,5,0.3,1.1,15,10,True,SCP,models/VISNIR_ANY_As2S3_Slavich-abinitio-alpha_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_As2S3_Slavich-abinitio-alpha_0.3_1.1um/SCP_M5.json,VISNIR_ANY_As2S3_Slavich-abinitio-alpha_0.3_1.1um
As2S3,As2S3_As2S3_Slavich-abinitio-beta,As2S3 / Slavich-abinitio-beta,As2S3,Slavich-abinitio-beta,,records/As2S3_As2S3_Slavich-abinitio-beta.json,experimental/As2S3_As2S3_Slavich-abinitio-beta/raw_database_points.json,experimental/As2S3_As2S3_Slavich-abinitio-beta/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,10,10,10,5.0,SemiAnalyticalCP,SCP_M5,0.0036350211099841,5,0.3,1.1,15,10,True,SCP,models/VISNIR_ANY_As2S3_Slavich-abinitio-beta_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_As2S3_Slavich-abinitio-beta_0.3_1.1um/SCP_M5.json,VISNIR_ANY_As2S3_Slavich-abinitio-beta_0.3_1.1um
As2S3,As2S3_As2S3_Slavich-abinitio-gamma,As2S3 / Slavich-abinitio-gamma,As2S3,Slavich-abinitio-gamma,,records/As2S3_As2S3_Slavich-abinitio-gamma.json,experimental/As2S3_As2S3_Slavich-abinitio-gamma/raw_database_points.json,experimental/As2S3_As2S3_Slavich-abinitio-gamma/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,12,12,12,4.0,SemiAnalyticalCP,SCP_M4,0.0030794072457675,5,0.3,1.1,15,12,True,SCP,models/VISNIR_ANY_As2S3_Slavich-abinitio-gamma_0.3_1.1um/SCP_M4.json,model_curves/VISNIR_ANY_As2S3_Slavich-abinitio-gamma_0.3_1.1um/SCP_M4.json,VISNIR_ANY_As2S3_Slavich-abinitio-gamma_0.3_1.1um
As2S3,As2S3_As2S3_Slavich-alpha,As2S3 / Slavich-alpha,As2S3,Slavich-alpha,,records/As2S3_As2S3_Slavich-alpha.json,experimental/As2S3_As2S3_Slavich-alpha/raw_database_points.json,experimental/As2S3_As2S3_Slavich-alpha/fitting_grid_points.json,"[0.5, 0.9]",fitting_grid_points,4,4,4,1.0,SemiAnalyticalCP,SCP_M1,0.0072992431170077,5,0.5,0.9,15,4,True,SCP,models/VISNIR_ANY_As2S3_Slavich-alpha_0.5_0.9um/SCP_M1.json,model_curves/VISNIR_ANY_As2S3_Slavich-alpha_0.5_0.9um/SCP_M1.json,VISNIR_ANY_As2S3_Slavich-alpha_0.5_0.9um
