record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,G_rho,model_json,model_curve,selection_mode,reason
GaAs_GaAs_Papatryfonos,GaAs,GaAs,Papatryfonos,True,5.0,CP,CP,CP_M5,CP_M5_A,0.0288170771786776,0.6585344281013965,1.0000004531667006,data/models/GaAs_GaAs_Papatryfonos/CP_M5_A.json,data/model_curves/GaAs_GaAs_Papatryfonos/CP_M5_A.json,lowest_RMS_no_primary_target,
GaAs_GaAs_Rakic,GaAs,GaAs,Rakic,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0164480110587408,0.2229540153050003,1.000000000000001,data/models/GaAs_GaAs_Rakic/CP_M5_B.json,data/model_curves/GaAs_GaAs_Rakic/CP_M5_B.json,lowest_RMS_no_primary_target,
GaN_GaN_Kawashima,GaN,GaN,Kawashima,True,4.0,RP,RP,RP_M4,RP_M4,0.0090820858058925,0.0499917901475505,1.0000000000000009,data/models/GaN_GaN_Kawashima/RP_M4.json,data/model_curves/GaN_GaN_Kawashima/RP_M4.json,lowest_RMS_no_primary_target,
GaN_GaN_Lin-wurtzite,GaN,GaN,Lin-wurtzite,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0027733479098488,0.0165701471684625,1.000000000000001,data/models/GaN_GaN_Lin-wurtzite/CP_M2_B.json,data/model_curves/GaN_GaN_Lin-wurtzite/CP_M2_B.json,smallest_N_meeting_primary_target_0.005,
GaN_GaN_Lin-zincblende,GaN,GaN,Lin-zincblende,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0049575527033972,0.0298654688071282,1.000000079327125,data/models/GaN_GaN_Lin-zincblende/CP_M2_B.json,data/model_curves/GaN_GaN_Lin-zincblende/CP_M2_B.json,smallest_N_meeting_primary_target_0.005,
GaP_GaP_Adachi,GaP,GaP,Adachi,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0402057575576377,1.031975772095841,1.0000005115290014,data/models/GaP_GaP_Adachi/CP_M2_B.json,data/model_curves/GaP_GaP_Adachi/CP_M2_B.json,lowest_RMS_no_primary_target,
GaP_GaP_Aspnes,GaP,GaP,Aspnes,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0049804701533505,0.1408766445280174,1.0000009590164396,data/models/GaP_GaP_Aspnes/CP_M5_B.json,data/model_curves/GaP_GaP_Aspnes/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
GaP_GaP_Jellison,GaP,GaP,Jellison,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0043293115641585,0.0744976814774615,1.0000000000000009,data/models/GaP_GaP_Jellison/CP_M5_B.json,data/model_curves/GaP_GaP_Jellison/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
GaP_GaP_Khmelevskaia,GaP,GaP,Khmelevskaia,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0034086667989947,0.053030411718152,1.0000003108536704,data/models/GaP_GaP_Khmelevskaia/CP_M3_B.json,data/model_curves/GaP_GaP_Khmelevskaia/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
GaSb_GaSb_Adachi,GaSb,GaSb,Adachi,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0775052812722182,1.9287938436057348,1.0,data/models/GaSb_GaSb_Adachi/CP_M3_B.json,data/model_curves/GaSb_GaSb_Adachi/CP_M3_B.json,lowest_RMS_no_primary_target,
