record_key,material,material_class,book,page,N,selected_family,selected_specific_model,selected_epsilon_rms,selected_abs_rms,selected_G_rho,quality_label,selected_model_json
Ag_Ag_Johnson,Ag,metal,Ag,Johnson,3,CP,SemiCP,0.0254852896402148,0.1687570645399593,1.000000123092168,warning,data/models/Ag_Ag_Johnson/SemiCP_M3.json
Ag_Ag_Johnson,Ag,metal,Ag,Johnson,4,CP,SemiCP,0.0259629102667759,0.2392661817964632,1.0000000000000009,warning,data/models/Ag_Ag_Johnson/SemiCP_M4.json
Ag_Ag_Johnson,Ag,metal,Ag,Johnson,5,CP,CP,0.0416798545017537,1.0851275158179243,1.0,warning,data/models/Ag_Ag_Johnson/CP_M5.json
Ag_Ag_McPeak,Ag,metal,Ag,McPeak,1,CP,SemiCP,0.173955007812246,2.412563275246431,1.0000000901674413,poor,
Ag_Ag_McPeak,Ag,metal,Ag,McPeak,2,CP,SemiCP,0.0193288469789889,0.155368642249919,1.0000000851209816,warning,
Ag_Ag_McPeak,Ag,metal,Ag,McPeak,3,CP,SemiCP,0.0160049843550832,0.0705018297429367,1.0000000000000004,warning,
Ag_Ag_McPeak,Ag,metal,Ag,McPeak,4,CP,SemiCP,0.0146735309522689,0.0631072261571962,1.0000000000000004,warning,
Ag_Ag_McPeak,Ag,metal,Ag,McPeak,5,CP,SemiCP,0.0146530657001646,0.056098010417316,1.0,warning,
Ag_Ag_Rakic-BB,Ag,metal,Ag,Rakic-BB,1,CP,SemiCP,0.1485314603909526,1.7179856503153137,1.0000001516839232,poor,data/models/Ag_Ag_Rakic-BB/SemiCP_M1.json
Ag_Ag_Rakic-BB,Ag,metal,Ag,Rakic-BB,2,CP,SemiCP,0.0054594495243856,0.0608162305994266,1.0000000000000002,acceptable,data/models/Ag_Ag_Rakic-BB/SemiCP_M2.json
Ag_Ag_Rakic-BB,Ag,metal,Ag,Rakic-BB,3,CP,SemiCP,0.0017377409089628,0.010571977587246,1.0,excellent,data/models/Ag_Ag_Rakic-BB/SemiCP_M3.json
Ag_Ag_Rakic-BB,Ag,metal,Ag,Rakic-BB,4,CP,SemiCP,0.0017196518484918,0.0059964223083325,1.0,excellent,data/models/Ag_Ag_Rakic-BB/SemiCP_M4.json
Ag_Ag_Rakic-BB,Ag,metal,Ag,Rakic-BB,5,CP,SemiCP,0.0016790115459635,0.0030736995078129,1.0000000000000004,excellent,data/models/Ag_Ag_Rakic-BB/SemiCP_M5.json
Ag_Ag_Rakic-LD,Ag,metal,Ag,Rakic-LD,1,CP,SemiCP,0.1169854343690014,1.4061378262707482,1.000000162371493,poor,
Ag_Ag_Rakic-LD,Ag,metal,Ag,Rakic-LD,2,CP,SemiCP,0.0025660531064581,0.052132546477221,1.0000000000000004,excellent,
Ag_Ag_Rakic-LD,Ag,metal,Ag,Rakic-LD,3,CP,SemiCP,0.0014315754949797,0.0199632803136439,1.0000000000000009,excellent,
Ag_Ag_Rakic-LD,Ag,metal,Ag,Rakic-LD,4,CP,SemiCP,0.0008481952662412,0.0033069611798544,1.0,excellent,
Ag_Ag_Rakic-LD,Ag,metal,Ag,Rakic-LD,5,CP,SemiCP,0.0008857264746818,0.0054775303780321,1.0000000000000002,excellent,
Ag_Ag_Werner,Ag,metal,Ag,Werner,1,CP,SemiCP,0.0907058930298913,1.4938555164715763,1.0000003922855116,poor,data/models/Ag_Ag_Werner/SemiCP_M1.json
Ag_Ag_Werner,Ag,metal,Ag,Werner,2,CP,SemiCP,0.031713920465917,0.3869967827083123,1.0000005272121424,warning,data/models/Ag_Ag_Werner/SemiCP_M2.json
Ag_Ag_Werner,Ag,metal,Ag,Werner,3,CP,SemiCP,0.0016325747628449,0.0209778423646893,1.0,excellent,data/models/Ag_Ag_Werner/SemiCP_M3.json
Ag_Ag_Werner,Ag,metal,Ag,Werner,4,CP,SemiCP,0.001557636934601,0.0191902906894956,1.0000000000000002,excellent,data/models/Ag_Ag_Werner/SemiCP_M4.json
Ag_Ag_Werner,Ag,metal,Ag,Werner,5,CP,SemiCP,0.001412171108364,0.0197532026272481,1.0,excellent,data/models/Ag_Ag_Werner/SemiCP_M5.json
Ag_Ag_Werner-DFT,Ag,metal,Ag,Werner-DFT,1,CP,SemiCP,0.2628466991868965,1.892182922200052,1.0000003304877476,poor,data/models/Ag_Ag_Werner-DFT/SemiCP_M1.json
