material_class,material_query,book,page,record_index,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
lossy_transition_metal_oxide,Fe2O3,Fe2O3,Querry-o,1,4,0.0074881926167019,0.0640925234172752,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Fe2O3_Fe2O3_Querry-o/RP_M4.json,0.0079870340025223,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Fe2O3_Fe2O3_Querry-o/CP_M4.json,-0.028008526211223534,both_usable_RP_lower_RMS
lossy_transition_metal_oxide,VO2,VO2,Oguntoye-40C,3,4,0.0046049330100024,0.0343997574938954,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/RP_M4.json,0.0049987761625837,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/CP_M4.json,-0.035640373452158904,both_usable_RP_lower_RMS
lossy_transition_metal_oxide,VO2,VO2,Oguntoye-40C,3,5,0.000831032473156,0.0061045262173392,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/RP_M5.json,0.0009317597736622,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/SCP_M5.json,-0.0496859625005265,both_usable_RP_lower_RMS
nitride_or_carbide,Si3N4,Si3N4,Beliaev,1,3,2.8986254346300534e-06,1.2334168762952558e-05,1.0000000558860986,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M3.json,2.922514844021781e-06,SemiCP,1.0000000273367142,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M3.json,-0.0035646270058113266,both_usable_RP_lower_RMS
nitride_or_carbide,Si3N4,Si3N4,Beliaev,1,4,2.825423101400638e-06,1.1845176154595042e-05,1.0000000988233886,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M4.json,2.921938924804303e-06,SemiCP,1.000000168405192,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M4.json,-0.014587642200256943,both_usable_RP_lower_RMS
nitride_or_carbide,Si3N4,Si3N4,Beliaev,1,5,0.0006336236239704,0.0027198301080515,1.000000006052386,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M5.json,0.0011774255170509,SemiCP,1.0000001236279707,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M5.json,-0.26910208248319334,both_usable_RP_lower_RMS
nitride_or_carbide,TiN,TiN,Shkondin-800,3,4,0.0153850917284293,0.0998419417030487,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiN_TiN_Shkondin-800/RP_M4.json,,,,,,RP_usable_CP_unusable
semiconductor,CdTe,CdTe,Adachi,1,5,0.0053066025602807,0.050733016270678,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/CdTe_CdTe_Adachi/RP_M5.json,0.0067960115350755,SemiCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/CdTe_CdTe_Adachi/SCP_M5.json,-0.10743754511742745,both_usable_RP_lower_RMS
semiconductor,GaSb,GaSb,Adachi,1,5,0.0818375942691241,1.9725413078521583,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/GaSb_GaSb_Adachi/RP_M5.json,0.1430097120515094,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/GaSb_GaSb_Adachi/SCP_M5.json,-0.24241267800412322,both_usable_RP_lower_RMS
semiconductor,Ge,Ge,Ciesielski-20nm,2,5,0.0023902260628127,0.0420380238630688,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ge_Ge_Ciesielski-20nm/RP_M5.json,,,,,,RP_usable_CP_unusable
